0.049,0.22,0.041,2.4,0.489,0.5
0.145,0.24,0.051,1.514,0.28,0.3333333333333333
0.17,0.177,0.056,1.685,0.455,0.5833333333333334
0.164,0.289,0.064,1.029,0.222,0.25
0.078,0.066,0.044,0.417,0.147,0.75
0.16,0.371,0.06,2.653,0.445,0.75
0.224,0.384,0.065,1.789,0.283,0.5
0.273,0.213,0.062,0.426,0.159,0.1666666666666667
0.015,-0.138,0.036,0.108,0.08400000000000001,0.5
0.006,0.175,0.031,3.279,0.6860000000000001,0.6666666666666666
0.5649999999999999,0.755,0.115,5.264,0.545,0.5833333333333334
0.03,-0.215,0.042,0.146,0.09,0.1666666666666667
0.079,0.193,0.054,0.949,0.187,0.4166666666666667
0.231,0.285,0.06900000000000001,0.838,0.18,0.25
0.033,0.113,0.036,0.876,0.272,0.8333333333333334
0.014,0.123,0.041,1.39,0.221,0.8333333333333334
-0.008999999999999999,-0.02,0.037,0.504,0.166,0.3333333333333333
-0.037,0.107,0.008999999999999999,2.997,0.418,0.1666666666666667
0.266,0.326,0.074,1.083,0.27,0.75
0.068,0.169,0.048,1.009,0.251,0.5
0.064,0.183,0.049,0.96,0.181,0.5833333333333334
0.029,0.108,0.039,0.754,0.248,0.1666666666666667
0.448,0.576,0.093,3.23,0.529,0.4166666666666667
0.08599999999999999,0.193,0.042,1.46,0.279,0.1666666666666667
0.449,0.73,0.083,6.831,0.738,0.6666666666666666
0.019,0.25,0.044,1.242,0.307,0.6666666666666666
-0.014,-0.106,0.028,0.371,0.125,0.8333333333333334
0.212,0.101,0.062,0.151,0.073,0.5
0.337,0.424,0.078,1.648,0.238,0.08333333333333333
0.135,0.266,0.055,1.457,0.264,0.8333333333333334
0.249,0.155,0.06,0.881,0.276,0.75
0.05,0.008999999999999999,0.044,0.54,0.181,0.3333333333333333
0.529,0.737,0.111,4.151,0.519,0.6666666666666666
0.196,0.297,0.064,1.019,0.243,0.3333333333333333
-0.095,0.064,-0.002,4.106,0.436,0.3333333333333333
0.037,0.146,0.038,1,0.304,0.3333333333333333
0.034,0.176,0.033,2.679,0.492,0.6666666666666666
0.319,0.464,0.07199999999999999,2.2,0.312,0.75
0.145,0.131,0.054,0.6870000000000001,0.216,0.75
0.167,0.434,0.059,4.246,0.552,0.3333333333333333
0.228,0.278,0.06900000000000001,0.665,0.162,0.8333333333333334
0.124,0.578,0.047,11.654,1.003,0.5
0.033,0.056,0.038,0.661,0.191,0.08333333333333333
0.031,0.181,0.034,1.221,0.336,0.5833333333333334
0.043,0.094,0.043,0.647,0.183,0.8333333333333334
0.065,0.5639999999999999,0.045,7.482,1.074,1
-0.046,0.147,0.014,3.627,0.85,0.9166666666666666
0.315,0.587,0.078,4.549,0.618,0.3333333333333333
0.091,0.042,0.042,0.372,0.13,0.3333333333333333
0.021,0.131,0.034,0.745,0.162,0.75
0.461,0.715,0.08799999999999999,3.581,0.442,0.75
0.194,0.375,0.054,1.998,0.314,0.75
0.104,0.181,0.056,0.917,0.21,0.4166666666666667
0.149,0.285,0.063,0.757,0.245,0.75
-0.037,-0.023,0.026,0.6879999999999999,0.137,0.8333333333333334
0.044,0.212,0.044,1.137,0.319,0.5833333333333334
0.096,0.144,0.05,0.4,0.093,0.08333333333333333
-0.134,-1.438,0.001,0.07099999999999999,0.082,0.25
0.217,0.363,0.06,1.578,0.246,0.8333333333333334
0.243,0.422,0.074,1.779,0.339,0.25
0.191,0.467,0.043,4.431,0.8,0.6666666666666666
0.362,0.477,0.08,2.604,0.352,0.6666666666666666
0.096,0.129,0.048,0.58,0.147,0.8333333333333334
0.028,0.176,0.034,1.303,0.23,0.3333333333333333
0.062,0.057,0.047,0.485,0.137,0.08333333333333333
0.154,0.218,0.061,0.756,0.19,0.8333333333333334
0.385,0.542,0.1,1.29,0.24,0.4166666666666667
0.08699999999999999,0.178,0.047,0.5649999999999999,0.145,0.5
0.591,0.805,0.114,6.594,0.748,0.75
0.142,0.421,0.044,6.2,0.994,0.75
0.02,0.189,0.031,3.22,0.538,0.25
0.024,0.187,0.039,2.614,0.408,0.75
0.203,0.351,0.062,1.532,0.286,0.3333333333333333
0.14,0.17,0.058,0.51,0.152,0.4166666666666667
0.029,0.1,0.04,1.04,0.278,0.8333333333333334
-0.017,0.186,0.036,1.632,0.51,0.08333333333333333
0.017,-0.023,0.038,0.52,0.22,0.75
0.051,0.29,0.042,2.539,0.297,0.4166666666666667
0.098,0.045,0.045,0.639,0.17,0.08333333333333333
0.712,1.341,0.156,26.385,1.128,0.08333333333333333
0.002,0.095,0.036,0.483,0.103,0.8333333333333334
-0.008999999999999999,-0.07199999999999999,0.019,0.978,0.314,0.8333333333333334
0.159,0.07000000000000001,0.049,0.519,0.118,0.8333333333333334
0.008999999999999999,0.067,0.039,0.545,0.149,0.4166666666666667
-0.025,0.098,0.031,0.889,0.258,0.5
0.193,0.199,0.06,0.7,0.253,0.6666666666666666
0.248,0.28,0.06900000000000001,0.735,0.239,0.08333333333333333
-0.014,-0.261,0.038,0.188,0.105,0.08333333333333333
0.002,-0.256,0.035,0.165,0.096,0.9166666666666666
0.343,0.459,0.06900000000000001,2.513,0.436,0.08333333333333333
0.253,0.431,0.068,1.764,0.351,0.3333333333333333
-0.275,-1.73,-0.03,0.119,0.123,0.5
0.055,0.243,0.037,1.509,0.21,0.5
0.121,0.235,0.054,0.839,0.231,0.3333333333333333
-0.07099999999999999,-0.082,0.013,0.754,0.462,0.5
0.208,0.548,0.063,5.477,0.852,0.3333333333333333
0.62,0.892,0.131,4.7,0.386,0.6666666666666666
-0.063,0.15,0.021,4.812,0.819,0.1666666666666667
0.315,0.404,0.08400000000000001,1.662,0.26,0.5
